Jahr;1.75 Pfad KA tCO2-eq;Proz_1.75;1.5 Pfad KA tCO2-eq;Proz_1.5;Anmerkungen
2010;2.660.543; 1,00   ;2.660.543; 1,00   ;IFEU-Bilanz
2011;2.572.705; 0,97   ;2.572.705; 0,97   ;IFEU-Bilanz
2012;2.663.723; 1,00   ;2.663.723; 1,00   ;IFEU-Bilanz
2013;2.618.796; 0,98   ;2.618.796; 0,98   ;IFEU-Bilanz
2014;2.552.045; 0,96   ;2.552.045; 0,96   ;IFEU-Bilanz
2015;2.472.280; 0,93   ;2.472.280; 0,93   ;IFEU-Bilanz
2016;2.431.438; 0,91   ;2.431.438; 0,91   ;IFEU-Bilanz
2017;2.412.331; 0,91   ;2.412.331; 0,91   ;IFEU-Bilanz
2018;2.404.872; 0,90   ;2.404.872; 0,90   ;IFEU-Bilanz
2019;2.351.114; 0,88   ;2.351.114; 0,88   ;IFEU-Bilanz
2020;2.239.371; 0,84   ;2.191.482; 0,82   ;lineare Ableitung
2021;2.127.629; 0,80   ;2.031.849; 0,76   ;lineare Ableitung
2022;2.015.886; 0,76   ;1.872.216; 0,70   ;lineare Ableitung
2023;1.904.143; 0,72   ;1.712.584; 0,64   ;lineare Ableitung
2024;1.792.400; 0,67   ;1.552.951; 0,58   ;lineare Ableitung
2025;1.680.657; 0,63   ;1.393.319; 0,52   ;lineare Ableitung
2026;1.568.915; 0,59   ;1.233.686; 0,46   ;lineare Ableitung
2027;1.457.172; 0,55   ;1.074.054; 0,40   ;lineare Ableitung
2028;1.345.429; 0,51   ;914.421; 0,34   ;lineare Ableitung
2029;1.233.686; 0,46   ;754.788; 0,28   ;lineare Ableitung
2030;1.117.428;0,42;595.156; 0,22   ;Klimaschutzziel 2030
2031;1.037.612; 0,39   ;435.523; 0,16   ;lineare Ableitung
2032;957.795; 0,36   ;275.891; 0,10   ;lineare Ableitung
2033;851.374; 0,32   ;116.258; 0,04   ;lineare Ableitung
2034;771.557; 0,29   ;63.047; 0,02   ;lineare Ableitung
2035;691.741; 0,26   ;53.000; 0,02   ;lineare Ableitung
2036;611.925; 0,23   ;53.000; 0,02   ;lineare Ableitung
2037;532.109; 0,20   ;53.000; 0,02   ;lineare Ableitung
2038;452.292; 0,17   ;53.000; 0,02   ;lineare Ableitung
2039;372.476; 0,14   ;53.000; 0,02   ;lineare Ableitung
2040;292.660; 0,11   ;53.000; 0,02   ;lineare Ableitung
Summe 2020-2040;25.054.257;; 16.535.225   ;;
Zielwert Restbudget;25.000.000;;16.000.000;;
